id,cid,collection_name,path,hash,size,lastModifiedNano,attachmentId,directoryId,filename,rootCid,pieceCid
6,bafkreied63bcq5uope2wgsfqztrlymkeucelfoyjabwwbt3revvwk45564,cbp,temp,,576901,1709249072953171800,1,5,cpb_waterquality_2002_01.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
7,bafkreigj5ismpmlkr7nztqi4mjfz2ujia65qhfjffqlbprmmf4cd7bf5ei,cbp,temp,,622633,1709249074364594400,1,5,cpb_waterquality_2002_02.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
9,bafkreigc3un6iabaa67ypeqornaupulzx5zr3pqlvevwa22pzmbqiqwbbm,cbp,temp,,884191,1709249077483480100,1,5,cpb_waterquality_2002_04.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
10,bafkreiadumuepa6r6qysflieyesjemxjiyhralsc2aiyfhdevpzwwgooji,cbp,temp,,1039466,1709249079150541800,1,5,cpb_waterquality_2002_05.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
11,bafkreidctetwiwz5stq5gmm3ep43ssjlfgo4lm6xebm4346ndlzni7nshq,cbp,temp,,797102,1709249080787384600,1,5,cpb_waterquality_2002_06.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
13,bafkreie2oclcpy2ii3m7lxzvf3bmognjc6biv4tpsszw6mephkj7qil37u,cbp,temp,,1026632,1709249084009322500,1,5,cpb_waterquality_2002_08.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
14,bafkreifg3esxrh6bzjgv6ifthxkfms3srmtofngzo4ftqd2bee7nr7iqxi,cbp,temp,,875126,1709249085574922400,1,5,cpb_waterquality_2002_09.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
16,bafkreiahbjl3vzjjgvaty2abwxjc2e7aardopy6pqpb4q6sdu5ucp3h4o4,cbp,temp,,634914,1709249088399807000,1,5,cpb_waterquality_2002_11.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
17,bafkreiho3egcpj3m3ayntiy6u4vaxhcmmgv4wbcztg5rk2zkufm3j3jnqa,cbp,temp,,475121,1709249089707233700,1,5,cpb_waterquality_2002_12.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
18,bafkreih3bknhqbglmya7m5eyiutrqtpggrhffxauv3huhttyyvkdeb3qc4,cbp,temp,,497270,1709249091037958000,1,5,cpb_waterquality_2003_01.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
20,bafkreihqcuibmynyukx7q5midnyqqp4zglqfkli5zswod44io7xz6bngvy,cbp,temp,,759032,1709249094094924700,1,5,cpb_waterquality_2003_03.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
21,bafkreidcig3hpq7f2u6lmprioa2zimhq5vcsj2hdaxj6s6ingeat62xn24,cbp,temp,,951439,1709249095697672600,1,5,cpb_waterquality_2003_04.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
22,bafybeia53dswoib5ecd4tteneothbyef2hcoyd7gzuc2xszwcdzk7xdsye,cbp,temp,,1162275,1709249097358250900,1,5,cpb_waterquality_2003_05.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
24,bafybeibtfwbc5yfdcy5apxwpi22a5pablno5weaz3nq2j3e35262em23ae,cbp,temp,,1319097,1709249100809445900,1,5,cpb_waterquality_2003_07.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
25,bafybeia4wak3idgvaa4j7cuzn5olmkwzxo3edruqhhzxfrbz44p456wjry,cbp,temp,,1333488,1709249102610566500,1,5,cpb_waterquality_2003_08.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
26,bafybeicgpwnxhkafhbvusad2rzxi6qwjiljevd7agi3icnzmd5bbmpqryy,cbp,temp,,1077204,1709249104264286300,1,5,cpb_waterquality_2003_09.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
28,bafkreidvqgiez5icvg4ijafhlmu7b6zdtsszavsskl6jpjczakngvjrtoa,cbp,temp,,621755,1709249107291652900,1,5,cpb_waterquality_2003_11.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
29,bafkreidazvae3xqngiwmr5uvhxx2eklwcodbhx3bfrcz4cfymyu5t5bqlm,cbp,temp,,647739,1709249108684066300,1,5,cpb_waterquality_2003_12.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
30,bafkreihchjkky4nzwfzvsbxdxe34fjbj2jxj4ookrwe3alhmwjg4a4dorq,cbp,temp,,508755,1709249110055369800,1,5,cpb_waterquality_2004_01.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
32,bafkreiel3k57m2vkmqy6yfycpbekliwvijutu5n5llskzhhbsqszqjty3u,cbp,temp,,814525,1709249112937197700,1,5,cpb_waterquality_2004_03.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
33,bafybeiezklz5uv5hok4dsay5uc7iyv5lswzydzvki5e7isyalk6pbgxc6u,cbp,temp,,1154970,1709249114611897400,1,5,cpb_waterquality_2004_04.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
34,bafybeiaijmoixq4clsw5ubwtr4j5vtisukt35eia22qmgw2ldsm3psuaue,cbp,temp,,1235579,1709249116340727700,1,5,cpb_waterquality_2004_05.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
36,bafybeianvccme2ru7bjsrrdjv4bke52ullz6zcccmxjmiiq6y6mhvhbx6m,cbp,temp,,1484660,1709249120012120300,1,5,cpb_waterquality_2004_07.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
37,bafybeicjk6o7fjhm5h4ka22rlq7wcqy4eflctwh44hgbsq2nteoa5euoyy,cbp,temp,,1520472,1709249121866245000,1,5,cpb_waterquality_2004_08.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
